brand_name,property,city,room_type,available_contracts,run_time,instalment_id,name,academic_year,price,available,start_date,end_date,contract_length,weeks_remaining,base_hub_url,updated_at,pricing_updated_at
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,5,2026-07-01T19:18:30Z,703,26 Great George Street - Premium Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,259,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:21.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,5,2026-07-01T19:18:30Z,5064,26 Great George Street - Premium Studio - 26/27 - 12/09 - 45wk 2026,2026 / 2027,0,true,2026-09-12,2027-07-24,45,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:25.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,5,2026-07-01T19:18:30Z,713,26 Great George Street - Deluxe Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,295,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio Plus,3,2026-07-01T19:18:30Z,714,26 Great George Street - Deluxe Studio Plus - 25/26 - 28/02 - 21wk 2026,2025 / 2026,0,true,2026-02-28,2026-07-25,21,3,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio+Plus&tenancyLength=21+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:20.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio Plus,3,2026-07-01T19:18:30Z,715,26 Great George Street - Deluxe Studio Plus - 25/26 - 28/02 - 26wk 2026,2025 / 2026,0,true,2026-02-28,2026-08-29,26,8,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio+Plus&tenancyLength=26+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:20.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio Plus,3,2026-07-01T19:18:30Z,716,26 Great George Street - Deluxe Plus Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,325,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Deluxe+Studio+Plus&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:21.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Premium Plus Studio,4,2026-07-01T19:18:30Z,707,26 Great George Street - Premium Plus Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,279,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Plus+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:21.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Premium Plus Studio,4,2026-07-01T19:18:30Z,5692,26 Great George Street - Premium Plus Studio - 26/27 - 12/09 - 45wk 2026,2026 / 2027,285,true,2026-09-12,2027-07-24,45,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Plus+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:26.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Premium Plus Studio,4,2026-07-01T19:18:30Z,705,26 Great George Street - Premium Plus Studio - 25/26 - 28/02 - 21wk 2026,2025 / 2026,279,true,2026-02-28,2026-07-25,21,3,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Plus+Studio&tenancyLength=21+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:16.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Premium Plus Studio,4,2026-07-01T19:18:30Z,706,26 Great George Street - Premium Plus Studio - 25/26 - 28/02 - 26wk 2026,2025 / 2026,279,true,2026-02-28,2026-08-29,26,8,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Plus+Studio&tenancyLength=26+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:16.000000Z,
