brand_name,property,city,room_type,available_contracts,quantity_available,run_time,instalment_id,name,academic_year,price,available,bookable,Contact Form URL,start_date,end_date,contract_length,weeks_remaining,base_hub_url,updated_at,pricing_updated_at
Universal Student Living,200 Cowgate,Edinburgh,4 Bed Classic Ensuite,1,10,2026-07-08T10:06:38Z,697,200 Cowgate - 4 Bed Classic Ensuite - 26/27 - 29/08 - 51wk 2026,2026 / 2027,225,true,Enabled,-,2026-08-29,2027-08-21,51,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=4+Bed+Classic+Ensuite&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Universal Student Living,200 Cowgate,Edinburgh,5 Bed Classic Ensuite,1,10,2026-07-08T10:06:38Z,691,200 Cowgate - 5 Bed Classic Ensuite - 26/27 - 29/08 - 51wk 2026,2026 / 2027,215,true,Enabled,-,2026-08-29,2027-08-21,51,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=5+Bed+Classic+Ensuite&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Universal Student Living,200 Cowgate,Edinburgh,6 Bed Classic Ensuite,1,10,2026-07-08T10:06:38Z,695,200 Cowgate - 6 Bed Classic Ensuite - 26/27 - 29/08 - 51wk 2026,2026 / 2027,215,true,Enabled,-,2026-08-29,2027-08-21,51,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=6+Bed+Classic+Ensuite&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Universal Student Living,200 Cowgate,Edinburgh,6 Bed Standard Ensuite,1,0,2026-07-08T10:06:38Z,693,200 Cowgate - 6 Bed Standard Ensuite - 26/27 - 29/08 - 51wk 2026,2026 / 2027,205,true,Enabled,-,2026-08-29,2027-08-21,51,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=6+Bed+Standard+Ensuite&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Universal Student Living,200 Cowgate,Edinburgh,Penthouse,1,0,2026-07-08T10:06:38Z,699,200 Cowgate - Penthouse - 26/27 - 29/08 - 51wk 2026,2026 / 2027,288,true,Enabled,-,2026-08-29,2027-08-21,51,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=Penthouse&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Universal Student Living,200 Cowgate,Edinburgh,Studio,1,0,2026-07-08T10:06:38Z,689,200 Cowcate - Studio - 26/27 - 29/08 - 51wk 2026,2026 / 2027,285,true,Enabled,-,2026-08-29,2027-08-21,51,51,https://universal.hfs.bookings.basepms.com/?city=Edinburgh&property=200+Cowgate&roomType=Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,26 Great George Street,Leeds,1 Bed Apartment,1,10,2026-07-13T18:55:35Z,720,26 Great George Street - 1 Bed Apartment - 26/27 - 12/09 - 51wk 2026,2026 / 2027,395,true,Enabled,-,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=1+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:21.000000Z,
Prestige Student Living,26 Great George Street,Leeds,1 Bed Apartment,1,10,2026-07-13T18:55:35Z,718,26 Great George Street - 1 Bed Apartment - 25/26 - 28/02 - 21wk 2026,2025 / 2026,395,false,Disabled,-,2026-02-28,2026-07-25,21,2,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=1+Bed+Apartment&tenancyLength=21+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:16.000000Z,
Prestige Student Living,26 Great George Street,Leeds,1 Bed Apartment,1,10,2026-07-13T18:55:35Z,719,26 Great George Street - 1 Bed Apartment - 25/26 - 28/02 - 26wk 2026,2025 / 2026,0,false,Disabled,-,2026-02-28,2026-08-29,26,7,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=1+Bed+Apartment&tenancyLength=26+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:20.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Classic Plus Studio,0,0,2026-07-13T18:55:35Z,5065,26 Great George Street - Classic Plus Studio - 26/27 - 12/09 - 45wk 2026,2026 / 2027,249,false,Enabled,-,2026-09-12,2027-07-24,45,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Classic+Plus+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:25.000000Z,
